,jaccard index-1,jaccard index-50,jaccard index-100,jaccard index-250
2016-11-21,0.9902912621359223,0.7609649122807017,0.7245841035120147,0.056261343012704176
2016-11-22,0.9776357827476039,0.75764192139738,0.7232472324723247,0.059782608695652176
2016-11-23,0.9535603715170279,0.7641921397379913,0.7240740740740741,0.06159420289855073
2016-11-24,0.9569230769230769,0.7603485838779956,0.722735674676525,0.06148282097649186
2016-11-25,0.9595015576323987,0.75764192139738,0.7177121771217713,0.061371841155234655
2016-11-26,0.9685534591194969,0.7647058823529411,0.7177121771217713,0.06126126126126126
2016-11-27,0.9428571428571428,0.7614879649890591,0.7190388170055453,0.06306306306306306
2016-11-28,0.98989898989899,0.7609649122807017,0.7171903881700554,0.06486486486486487
2016-11-29,0.9767441860465116,0.7609649122807017,0.7166666666666667,0.06666666666666667
2016-11-30,0.9672131147540983,0.7592997811816192,0.7153419593345656,0.06654676258992806
2016-12-01,0.9801324503311258,0.759825327510917,0.7158671586715867,0.06642728904847396
2016-12-02,0.9641693811074918,0.7620087336244541,0.7095588235294118,0.06618962432915922
2016-12-03,0.9869281045751634,0.7680525164113785,0.7077205882352942,0.06618962432915922
2016-12-04,0.9736842105263158,0.7702407002188184,0.7166666666666667,0.06618962432915922
2016-12-05,0.9898648648648649,0.7658643326039387,0.7166666666666667,0.06618962432915922
2016-12-06,0.966996699669967,0.7663755458515283,0.7185185185185186,0.06797853309481217
2016-12-07,0.9704918032786886,0.7625272331154684,0.7185185185185186,0.07334525939177101
2016-12-08,0.9607843137254902,0.7559912854030502,0.7140221402214022,0.13903743315508021
2016-12-09,0.9704918032786886,0.7521739130434782,0.714548802946593,0.1387900355871886
2016-12-10,0.966996699669967,0.7608695652173914,0.714548802946593,0.1387900355871886
2016-12-11,0.9663299663299664,0.7625272331154684,0.7153419593345656,0.1601423487544484
2016-12-12,0.9895470383275261,0.7658643326039387,0.7148148148148148,0.17259786476868327
2016-12-13,0.9627118644067797,0.7625272331154684,0.711645101663586,0.18617021276595744
2016-12-14,0.9701986754966887,0.7625272331154684,0.711645101663586,0.19858156028368795
2016-12-15,0.9583333333333334,0.7537796976241901,0.716390423572744,0.20848056537102475
2016-12-16,0.949685534591195,0.7602591792656588,0.710091743119266,0.20774647887323944
2016-12-17,0.9617834394904459,0.7673913043478261,0.7090239410681399,0.20774647887323944
2016-12-18,0.993485342019544,0.7565217391304347,0.7121771217712177,0.2306338028169014
2016-12-19,0.9901639344262295,0.7565217391304347,0.711645101663586,0.24471830985915494
2016-12-20,0.9710610932475884,0.7608695652173914,0.7097966728280961,0.2517605633802817
2016-12-21,0.964968152866242,0.7527114967462039,0.7079482439926063,0.2548330404217926
2016-12-22,0.9584664536741214,0.7580993520518359,0.7084870848708487,0.2754385964912281
2016-12-23,0.9551282051282052,0.7580993520518359,0.7103321033210332,0.2754385964912281
2016-12-24,0.9674267100977199,0.7429805615550756,0.7084870848708487,0.2754385964912281
2016-12-25,0.9833887043189369,0.7386609071274298,0.7084870848708487,0.2929824561403509
2016-12-26,0.9831081081081081,0.7386609071274298,0.7121771217712177,0.2982456140350877
2016-12-27,1.0,0.7386609071274298,0.7134935304990758,0.3
2016-12-28,0.9797979797979798,0.7408207343412527,0.7134935304990758,0.3140350877192982
2016-12-29,0.9666666666666667,0.7408207343412527,0.7153419593345656,0.32456140350877194
2016-12-30,0.95578231292517,0.7424242424242424,0.7171903881700554,0.32456140350877194
2016-12-31,0.9752650176678446,0.7456521739130435,0.7179962894248608,0.32456140350877194
2017-01-01,0.9422382671480144,0.7445414847161572,0.7137546468401487,0.3263157894736842
2017-01-02,0.9808429118773946,0.7494505494505495,0.70817843866171,0.3298245614035088
2017-01-03,0.9142857142857143,0.756043956043956,0.7089552238805971,0.3350877192982456
2017-01-04,0.9621993127147767,0.7532751091703057,0.70817843866171,0.3479020979020979
2017-01-05,0.96,0.7614879649890591,0.7037037037037037,0.35365853658536583
2017-01-06,0.9203821656050956,0.7673913043478261,0.6985294117647058,0.35121107266435986
2017-01-07,0.9647435897435898,0.7657266811279827,0.7040441176470589,0.35060449050086356
2017-01-08,0.9804560260586319,0.7722342733188721,0.7077205882352942,0.35233160621761656
2017-01-09,0.9900332225913622,0.774617067833698,0.7011070110701108,0.3644214162348877
2017-01-10,0.9738562091503268,0.7789934354485777,0.7024029574861368,0.37132987910189985
2017-01-11,0.952076677316294,0.7799564270152506,0.7074074074074074,0.3765112262521589
2017-01-12,0.9680511182108626,0.7782608695652173,0.7169459962756052,0.3799654576856649
2017-01-13,0.949685534591195,0.7860262008733624,0.7100371747211895,0.3793103448275862
2017-01-14,0.9555555555555556,0.7777777777777778,0.7153558052434457,0.37865748709122204
2017-01-15,0.9837133550488599,0.7712418300653595,0.7172284644194756,0.3855421686746988
2017-01-16,0.9867549668874173,0.7724288840262582,0.7175141242937854,0.39070567986230637
2017-01-17,0.9612903225806452,0.7712418300653595,0.720754716981132,0.3958691910499139
2017-01-18,0.9654088050314465,0.7635574837310195,0.7267552182163188,0.4079173838209983
2017-01-19,0.9686520376175548,0.7602591792656588,0.7272727272727273,0.4165232358003442
2017-01-20,0.9746835443037974,0.7569892473118279,0.7264150943396226,0.41509433962264153
2017-01-21,0.9682539682539683,0.7580299785867237,0.7236842105263158,0.41367521367521365
2017-01-22,0.9902912621359223,0.7494646680942184,0.7283018867924528,0.4153846153846154
2017-01-23,0.9901960784313726,0.7510729613733905,0.7277882797731569,0.4153846153846154
2017-01-24,0.9869706840390879,0.7510729613733905,0.7272727272727273,0.4170940170940171
2017-01-25,0.9616613418530351,0.7516059957173448,0.724007561436673,0.4300341296928328
2017-01-26,0.9680511182108626,0.7569892473118279,0.722117202268431,0.4334470989761092
2017-01-27,0.9744408945686901,0.7575107296137339,0.71939736346516,0.43197278911564624
2017-01-28,0.9651898734177216,0.7575107296137339,0.720226843100189,0.4312393887945671
2017-01-29,0.9967948717948718,0.7510729613733905,0.724007561436673,0.4533106960950764
2017-01-30,0.9903536977491961,0.7489270386266095,0.7286527514231499,0.45840407470288624
2017-01-31,0.9685534591194969,0.7457264957264957,0.725897920604915,0.46779661016949153
2017-02-01,0.9539877300613497,0.7510638297872341,0.7231638418079096,0.4780405405405405
2017-02-02,0.9452887537993921,0.7585470085470085,0.7231638418079096,0.4864864864864865
2017-02-03,0.9606060606060606,0.7590618336886994,0.7236842105263158,0.4856661045531197
2017-02-04,0.9579579579579579,0.7633262260127932,0.7255639097744361,0.48484848484848486
2017-02-05,0.9846625766871165,0.7633262260127932,0.7325800376647834,0.4882154882154882
2017-02-06,0.9906542056074766,0.7639484978540773,0.7296786389413988,0.5016835016835017
2017-02-07,0.9695121951219512,0.7628205128205128,0.7269303201506592,0.5243697478991597
2017-02-08,0.9520958083832335,0.7622080679405521,0.7274436090225563,0.5268456375838926
2017-02-09,0.9727272727272728,0.7649572649572649,0.7228464419475655,0.5343383584589615
2017-02-10,0.9759036144578314,0.767590618336887,0.7220149253731343,0.5325542570951586
2017-02-11,0.9668674698795181,0.7611940298507462,0.7206703910614525,0.5316666666666666
