report_agent_lei,total assets,cash,loans,own funds,deposits,securities collateral FINREP,securities collateral SHSG (nominal value),securities collateral SHSG (market value),cash over total assets,loans over total assets,own funds over total assets,deposits over total assets,securities collateral FINREP over total assets,securities collateral SHSG (nominal value) over total assets,securities collateral SHSG (market value) over total assets
10564,1479206981536.0,63499847665.0,88336847546.0,9793594003.0,802994203414.0001,36808406697.0,0.0,0.0,0.04292830446153122,0.05971905801463398,0.006620840845971663,0.5428545250511024,0.024883878427059858,0.0,0.0
8233,141069850000.0,2000756000.0,2167636000.0,1331401000.0,34947016000.0,0.0,0.0,0.0,0.014182732880200838,0.015365692952817346,0.009437884849243123,0.2477284550880291,0.0,0.0,0.0
10128,112948588000.0,5836375000.0,42264000.0,1059945000.0,87491634000.0,2299600000.0,0.0,0.0,0.05167284605629598,0.00037418794469568756,0.009384313861453495,0.7746146769006089,0.020359705603402497,0.0,0.0
4442,72796270000.0,2018912000.0,0.0,3830718000.0,60156574000.0,1729000.0,0.0,0.0,0.02773372866494396,0.0,0.05262244892492431,0.8263689059892767,2.3751216923614356e-05,0.0,0.0
12787,3956299350.0,150483750.0,0.0,313738240.0,3457654500.0,40690090.0,0.0,0.0,0.0380364923599626,0.0,0.07930093560791855,0.8739617996802997,0.01028488655692851,0.0,0.0
9122,89289695640.0,3837541040.0,0.0,1830593940.0,78423163550.0,298232760.0,0.0,0.0,0.042978543184560465,0.0,0.020501737931559603,0.8783002673252253,0.003340057974913711,0.0,0.0
14549,73985008070.0,1948053790.0,0.0,5362487960.0,63277589200.0,74161130.0,0.0,0.0,0.02633038558510223,0.0,0.0724807376506109,0.8552758302077995,0.0010023805083569548,0.0,0.0
9883,107455180069.0,6596068994.0,0.0,1343685314.0,81083846807.0,0.0,0.0,0.0,0.06138437430158768,0.0,0.012504611812452241,0.754582950351335,0.0,0.0,0.0
8076,116284775840.27,5684374377.01,0.0,2558187567.71,81299722998.67,12126212.55,0.0,0.0,0.048883220833809894,0.0,0.021999333526032276,0.6991433092698579,0.00010428031066299422,0.0,0.0
6653,48523008900.003105,579365615.408942,0.0,105905916.0,5655250934.000131,45693648.0014101,0.0,0.0,0.011940018324150235,0.0,0.0021825916900217873,0.11654782055363777,0.0009416903245958264,0.0,0.0
