,repo transactions maturity av. network,repo transactions notional av. network,number repo transactions av. network
2017-07-06,,10330874.15662413,862.0
2017-07-07,,13484710.867586933,949.0
2017-07-08,,12036656.807369815,1133.0
2017-07-09,,12770340.010747563,923.0
2017-07-10,,8826338.497719113,947.0
2017-07-11,,13501512.149586866,944.0
2017-07-12,,10334222.60280105,1146.0
2017-07-13,,11529376.37310915,907.0
2017-07-14,,13386277.236550523,861.0
2017-07-15,,14127364.803910615,895.0
2017-07-16,,14225617.237474287,875.0
2017-07-17,,8838782.635500563,889.0
2017-07-18,,10135899.496701268,867.0
2017-07-19,,10908739.207613517,947.0
2017-07-20,,9007156.053094983,937.0
2017-07-21,,12104620.099066667,975.0
2017-07-22,,9523646.694762375,1010.0
2017-07-23,,11081935.994925223,1003.0
2017-07-24,,11369479.27499487,975.0
2017-07-25,,10573327.67107454,1033.0
2017-07-26,,13753518.83507656,849.0
2017-07-27,,8886304.89025499,902.0
2017-07-28,,13679387.293522483,934.0
2017-07-29,,12671508.743250314,803.0
2017-07-30,,13917139.450653594,612.0
2017-07-31,14.318713704963923,12484187.468847351,642.0
2017-08-01,,15882060.89199052,633.0
2017-08-02,,23053883.503658537,738.0
2017-08-03,,19952994.29853503,628.0
2017-08-04,,14465184.32313433,469.0
2017-08-05,14.73450410199159,14394634.619960474,506.0
2017-08-06,,12651858.403913043,460.0
2017-08-07,,19435620.194210526,418.0
2017-08-08,,21441780.163203888,412.0
2017-08-09,,14942432.165277043,379.0
2017-08-10,,17369612.543671235,365.0
2017-08-11,,13988343.684954546,440.0
2017-08-12,,15493330.433886366,440.0
2017-08-13,,15942726.117507005,357.0
2017-08-14,,19491158.86574675,308.0
2017-08-15,48.870905187494465,35514191.61502959,338.0
2017-08-16,,9852337.65217431,1090.0
2017-08-17,,8762506.213867357,1161.0
2017-08-18,45.791758228013265,22003161.162574258,404.0
2017-08-19,,10835292.35947187,871.0
2017-08-20,,11066345.700166821,1079.0
2017-08-21,2.2901819650813056,28124714.89270833,528.0
2017-08-22,,15732202.195,546.0
2017-08-23,,14515477.981573237,553.0
2017-08-24,,19079227.67227273,770.0
2017-08-25,,17642650.661469698,660.0
2017-08-26,,23687977.506479133,551.0
2017-08-27,,14889700.628858447,657.0
2017-08-28,11.889385951070299,14201125.739264956,585.0
2017-08-29,,20018039.62568905,566.0
2017-08-30,,16068799.384648988,641.0
2017-08-31,,24283813.95522936,545.0
2017-09-01,,13300558.049638385,719.0
2017-09-02,,14406294.200528925,605.0
2017-09-03,38.17287133189628,16587344.333662692,587.0
2017-09-04,17.743110629470554,16237008.893809525,567.0
2017-09-05,11.379136478127316,17357273.37119782,551.0
2017-09-06,19.46728000610356,13169771.935434783,552.0
2017-09-07,,15668094.684222221,540.0
2017-09-08,24.356502568970868,15349968.01209231,650.0
2017-09-09,65.53888904666552,15482732.513532683,719.0
2017-09-10,,13719391.460273752,621.0
2017-09-11,5.091565962697512,13693053.600032896,608.0
2017-09-12,14.001821524949118,12968454.340092229,759.0
2017-09-13,68.42910823891681,14325199.331680162,494.0
2017-09-14,,15434714.616392693,657.0
2017-09-15,30.709721716681415,17605786.131626617,541.0
2017-09-16,,16867405.843729433,547.0
2017-09-17,13.894657493999718,14208840.982730264,608.0
2017-09-18,15.935510705065578,18763460.5124515,567.0
2017-09-19,,15117150.788986616,523.0
2017-09-20,12.034725421390512,19053254.025938105,517.0
2017-09-21,,16227406.378014704,544.0
2017-09-22,9.159935442257625,19560054.758018017,444.0
2017-09-23,19.278216642616073,18192715.091412216,524.0
2017-09-24,,25568511.175370365,432.0
2017-09-25,19.524329557410283,20246777.666272547,499.0
2017-09-26,,20483960.64485437,412.0
2017-09-27,,18625916.28370588,510.0
2017-09-28,26.790285860685376,26853327.374040823,490.0
2017-09-29,,18468106.199505497,728.0
2017-09-30,,19925671.288483754,554.0
2017-10-01,,16384435.591467889,654.0
2017-10-02,,20484965.097014155,777.0
2017-10-03,,19064605.629316237,585.0
2017-10-04,,22517201.125116732,514.0
2017-10-05,,18869010.03430403,546.0
2017-10-06,,21177535.501471173,503.0
2017-10-07,,16765458.806630602,647.0
2017-10-08,,22701199.067419846,655.0
2017-10-09,,22318842.52179134,508.0
2017-10-10,,18399782.035434086,622.0
2017-10-11,,20839005.354576975,721.0
2017-10-12,,24816536.11205167,658.0
2017-10-13,,21454878.50236422,626.0
2017-10-14,,13842409.42146264,629.0
2017-10-15,,20465158.40528131,551.0
2017-10-16,,23968421.73588461,520.0
2017-10-17,,22343410.94107639,576.0
2017-10-18,25.473751837094387,21692241.89931818,572.0
2017-10-19,,20788474.83689949,587.0
2017-10-20,,19341171.27,762.0
2017-10-21,34.04452161677893,13949436.98512358,1497.0
2017-10-22,,15874640.488403214,1121.0
2017-10-23,5.3604944864763455,18744482.542796053,912.0
2017-10-24,,26520070.501124747,489.0
2017-10-25,,19568209.95536508,630.0
2017-10-26,,18330032.273981232,746.0
2017-10-27,,18072221.0454488,791.0
2017-10-28,,18145651.88513298,752.0
2017-10-29,,27829970.489412703,630.0
2017-10-30,,16470854.468547944,730.0
2017-10-31,,23490286.850554787,721.0
2017-11-01,,22243900.615196373,662.0
2017-11-02,,17535109.127643313,628.0
2017-11-03,,25443424.27375618,607.0
2017-11-04,,19003294.284071762,641.0
2017-11-05,,20546894.56444445,693.0
2017-11-06,,23563501.9313615,639.0
2017-11-07,,22903699.071286645,614.0
2017-11-08,,26025844.43726524,607.0
2017-11-09,,23608077.58731169,770.0
2017-11-10,,11575758.60951724,1305.0
2017-11-11,,13961831.815399315,1465.0
2017-11-12,,20256898.14859355,775.0
2017-11-13,,19651183.192214385,709.0
2017-11-14,,13283260.56237774,593.0
2017-11-15,,16560419.604272844,777.0
2017-11-16,,15389630.844749263,678.0
2017-11-17,,17009252.78372449,588.0
2017-11-18,,15035607.457258318,631.0
2017-11-19,,12812943.813845161,775.0
2017-11-20,,17810985.18285205,561.0
2017-11-21,,16315331.321286645,614.0
2017-11-22,,13684621.406353744,735.0
2017-11-23,,16615618.643930858,781.0
2017-11-24,27.527610507623947,14581462.245292887,478.0
2017-11-25,,15995408.307913534,532.0
2017-11-26,,13957379.827037036,567.0
2017-11-27,,17613466.955309883,597.0
2017-11-28,,15341071.866750391,637.0
2017-11-29,13.451204932867032,11505940.181709923,655.0
2017-11-30,,14029999.322597014,670.0
2017-12-01,,14168291.364628932,795.0
2017-12-02,,14914994.959562501,640.0
2017-12-03,,17575643.5111557,623.0
